Seq	Clump	VLSR	DV	e_DV	taumain	e_taumain	Tex	e_Tex	Trot	e_Trot	Tkin	e_Tkin	Bff	logN(NH3)	<logN(NH3)>	log(N(NH3)/N(H2))	<log(N(NH3)/N(H2))>	Notes	Simbad
28	G018.887-00.476	 66.6	 2.9	 2.7	 4.5	 4.0	 5.1	 3.9	18.5	17.9	20.8	20.0	 0.22	15.39	15.15	-7.52	-7.45	1	Simbad
29	G019.080-00.290	 66.3	 2.1	 2.0	 4.7	 4.1	 4.3	 3.6	17.7	17.2	19.7	19.0	 0.21	15.18	15.06	-7.77	-7.58	1	Simbad
30	G019.727-00.111	 60.5	 1.7	 1.8	 2.4	 2.4	 3.7	 3.6	15.6	15.7	16.9	17.0	 0.23	14.72	14.73	-7.76	-7.70	 	Simbad
30	G019.769-00.115	 60.1	 1.4	 1.3	 5.0	 5.0	 3.5	 3.3	11.9	12.1	12.4	12.7	 0.27	14.89	14.85	-7.42	-7.41	 	Simbad
31	G019.886-00.536	 43.8	 2.2	 2.1	 2.3	 1.7	 4.8	 4.3	17.4	16.9	19.3	18.6	 0.25	14.94	14.74	-8.09	-7.95	1	Simbad
32	G019.925-00.258	 65.3	 2.7	 2.3	 6.9	 5.5	 4.1	 3.6	13.9	13.2	14.8	14.0	 0.27	15.40	15.17	-7.52	-7.37	2	Simbad
33	G020.730-00.059	 56.6	 3.4	 3.3	 3.0	 2.5	 4.0	 3.7	17.5	17.7	19.5	19.7	 0.21	15.18	15.07	-7.67	-7.50	1	Simbad
33	G020.749-00.092	 59.3	 2.8	 3.0	 3.0	 2.9	 4.3	 3.6	18.3	18.3	20.6	20.6	 0.20	15.13	15.06	-7.65	-7.48	 	Simbad
33	G020.782-00.049	 60.0	 2.2	 2.6	 2.4	 2.1	 4.3	 3.8	15.6	15.8	17.0	17.2	 0.24	14.89	14.85	-7.57	-7.52	 	Simbad
34	G021.375-00.222	 90.9	 2.1	 2.1	 3.3	 3.1	 4.3	 3.7	15.0	14.5	16.2	15.6	 0.25	15.00	14.91	-7.36	-7.24	1	Simbad
34	G021.387-00.251	 91.8	 2.2	 1.9	 4.3	 3.9	 4.9	 3.8	16.5	15.2	18.1	16.5	 0.25	15.20	14.93	-7.42	-7.28	1	Simbad
35	G022.352+00.068	 84.9	 1.7	 1.8	 4.8	 3.9	 5.3	 4.0	15.3	15.5	16.6	16.8	 0.26	15.16	14.97	-7.51	-7.36	 	Simbad
36	G022.397+00.340	 84.8	 1.3	 1.3	 2.9	 2.7	 4.3	 3.9	12.5	12.8	13.1	13.5	 0.31	14.72	14.68	-7.51	-7.47	 	Simbad
36	G022.399+00.300	 84.5	 1.0	 1.0	 3.9	 3.3	 4.8	 4.2	13.6	14.0	14.5	15.0	 0.30	14.77	14.68	-7.54	-7.56	 	Simbad
36	G022.412+00.316	 84.4	 1.4	 1.3	 5.2	 3.3	 5.6	 4.4	13.3	13.4	14.1	14.2	 0.33	15.11	14.77	-7.45	-7.45	1	Simbad
