l,b,Linear Size (pc),sigma (km/s)
12.678,0.006,4.294827680836498,0.715172356322
12.679,-0.154,10.44933704203526,0.86381415975
12.68,-0.284,0.8806067568489852,0.465332396324
12.685,0.016,3.015432680884743,0.791470586721
12.697,-0.148,3.323434819073855,0.548197433663
12.699,-0.074,1.6434385914122682,0.675079794416
12.699,0.353,0.6939593035175607,0.238603633893
12.713,-0.21,1.2764826851366922,0.560533433539
12.73,-0.215,1.999952192065349,0.32558093543
12.733,-0.36,1.11703266858562,0.235769302691
12.737,-0.335,2.039291136636402,0.483930723888
12.756,0.019,5.392914100692563,0.376297786106
12.765,-0.287,1.1875036596960693,0.41134263866
12.776,0.341,1.872327997772674,0.623678420427
12.779,0.396,0.7470990119196721,0.194352143385
12.787,-0.299,0.9254709244671666,0.329145829191
12.807,-0.315,1.3185547825704997,0.683039306776
12.813,-0.359,1.1756957203494247,0.255924844489
12.816,0.32,0.7377965011584143,0.357224744406
12.83,0.384,0.9277281241352235,0.393974052345
12.836,-0.145,1.490225418044567,0.615342292704
12.867,0.033,0.8780984129472912,0.311020640238
12.885,-0.021,1.1284352642807356,1.18747643195
12.889,-0.047,0.9683278473345709,0.732695407377
12.893,-0.323,1.0330514699587292,0.364556868908
12.904,-0.03,4.252140604299582,0.579198839131
12.912,-0.01,4.325916438358508,0.350558536741
12.919,-0.176,1.4639910252111894,0.734827988351
12.928,-0.198,1.4713588390389183,1.14486846622
12.934,-0.315,0.8806412521404762,0.507697186817
12.934,-0.074,4.724992128230386,0.416168008372
12.938,0.358,1.0220801424520916,0.392365669095
12.967,-0.148,1.262099157739331,0.706394171127
12.968,-0.345,1.0144726370321833,0.366225686933
12.971,-0.124,3.051338409377942,0.359909142601
12.974,0.064,4.548671670463256,0.58612568874
12.985,-0.132,3.6047004931958844,0.53452623352
12.987,0.353,1.0666921956863018,0.456198238732
12.989,-0.24,0.8615295398695286,0.833636866243
12.992,-0.108,3.306976909421396,1.02988158701
12.997,-0.092,0.9635265940936093,0.345580385962
13.001,-0.357,0.982968316060728,0.858307625957
13.008,0.041,3.625876744060165,0.327440728581
13.009,-0.133,1.7338863269263585,0.287509089283
13.012,-0.12,0.44980148636633677,0.69673060228
13.015,-0.249,1.9375144360110563,0.983915375404
13.024,-0.387,1.2761617280363469,0.21767674018
13.029,-0.277,1.2369090936202436,0.366316878209
13.032,-0.22,1.672062496373561,0.28915095777
13.037,-0.275,1.2242736414423097,0.414743026464
13.042,-0.248,0.606721434007897,0.4325447123
13.043,-0.159,1.3529491066368828,0.341991510446
13.042,-0.13,0.31062817751858324,0.610086992627
13.044,0.041,1.0068362984640116,0.278579260574
13.051,-0.356,2.3636848177926524,0.549722484994
13.052,-0.322,9.377982454819982,0.550720328128
13.057,0.073,0.9414179768202617,0.27441192945
13.062,-0.151,1.6813510091623238,0.352090722379
13.065,-0.218,1.0599143693170336,0.408864834139
13.079,-0.129,0.921735575918059,0.3537693247
13.081,-0.267,5.600684419348358,0.362363475548
13.104,-0.217,4.000108121241665,0.451040799339
13.109,-0.393,1.1536394003337471,0.512957210582
