theta_maj	theta_min	sigma	V_LSR	d1	l	b	T_peak
1.236809389506706269e+00 7.281048254616353521e-01 3.818143888120000273e-01 4.817418424169999724e+01 4.200000000000000178e+00 2.838400000000000034e+01 -3.170000000000000040e-01 1.113706231117248535e+00
2.500385666462696221e+00 1.499791205937547556e+00 4.959183158020000204e-01 1.015379820769999952e+02 5.570000000000000284e+00 2.838899999999999935e+01 1.970000000000000084e-01 1.204697012901306152e+00
1.612418874138237701e+00 5.099194645788720504e-01 4.545194400559999792e-01 8.134353279740000175e+01 4.389999999999999680e+00 2.839000000000000057e+01 -1.170000000000000068e-01 5.016956329345703125e-01
9.218640144142529191e-01 5.099546488113632092e-01 3.963749969859999833e-01 3.631284256549999867e+01 2.029999999999999805e+00 2.839900000000000091e+01 -3.029999999999999916e-01 7.093727588653564453e-01
1.526270282959701907e+00 5.831598874205495830e-01 3.790913400509999809e-01 9.897044631810000226e+01 8.169999999999999929e+00 2.840200000000000102e+01 1.610000000000000042e-01 4.354138076305389404e-01
2.912304169290906852e+00 8.245616132434654411e-01 6.161324676649999610e-01 9.376695808440000235e+01 4.669999999999999929e+00 2.840500000000000114e+01 2.149999999999999967e-01 6.944573521614074707e-01
7.280572668894490507e-01 4.471725363024640076e-01 2.086317401680000128e-01 7.975412827979999975e+01 4.360000000000000320e+00 2.841000000000000014e+01 1.499999999999999944e-01 6.448014378547668457e-01
1.868184402594847082e+00 7.279991045066905864e-01 2.857313145159999790e-01 8.288845165899999756e+01 4.419999999999999929e+00 2.841600000000000037e+01 -4.200000000000000261e-02 9.934132099151611328e-01
2.325611831793582329e+00 1.565489318244674299e+00 4.687932619510000176e-01 1.020648828829999957e+02 5.610000000000000320e+00 2.841700000000000159e+01 2.349999999999999867e-01 9.485462903976440430e-01
2.220032539705329544e+00 1.140350705678458310e+00 4.102185633000000053e-01 1.009952372279999935e+02 5.620000000000000107e+00 2.841700000000000159e+01 2.059999999999999887e-01 9.177412390708923340e-01
9.433797390726513798e-01 4.472211649946108980e-01 3.326787748439999914e-01 7.923562973420000333e+01 4.360000000000000320e+00 2.842000000000000171e+01 2.599999999999999881e-02 3.854346871376037598e-01
5.024931499552759639e+00 9.055400430922246890e-01 3.603646203879999899e-01 9.942349709810000036e+01 8.169999999999999929e+00 2.843100000000000094e+01 -1.099999999999999936e-02 1.488294601440429688e+00
1.044180178542441828e+00 6.323661059036543852e-01 2.286497234690000047e-01 5.034669051609999713e+01 4.209999999999999964e+00 2.843400000000000105e+01 -3.079999999999999960e-01 6.320853829383850098e-01
1.100000001177835918e+00 9.055432323372467618e-01 7.662244235299999762e-01 8.296999893539999960e+01 4.419999999999999929e+00 2.843599999999999994e+01 3.099999999999999978e-02 6.475367546081542969e-01
1.421006573136091244e+00 3.162646677547863439e-01 3.303393750840000198e-01 4.716682951149999781e+01 1.075000000000000000e+01 2.843900000000000006e+01 -2.500000000000000000e-01 5.314496755599975586e-01
2.863698416445505934e+00 1.019762885334877911e+00 3.887770827079999880e-01 7.426742109420000304e+01 4.320000000000000284e+00 2.844600000000000151e+01 -1.360000000000000098e-01 1.093460440635681152e+00
1.802439218423810052e+00 5.832065054563313478e-01 3.084456158450000207e-01 4.808059126669999728e+01 4.230000000000000426e+00 2.844600000000000151e+01 -2.690000000000000169e-01 4.529516100883483887e-01
2.280642071807599258e+00 9.218710870377111455e-01 3.786113987990000207e-01 4.702237308469999988e+01 4.219999999999999751e+00 2.844800000000000040e+01 -3.230000000000000093e-01 9.578611850738525391e-01
1.726260034956001554e+00 4.000000186586305517e-01 5.436739583549999866e-01 4.362907900110000270e+01 1.076999999999999957e+01 2.845799999999999841e+01 1.400000000000000029e-02 7.257371544837951660e-01
5.522846708489923984e+00 1.603091985465533664e+00 5.448170128310000360e-01 1.007884011019999946e+02 8.150000000000000355e+00 2.846699999999999875e+01 1.869999999999999996e-01 1.630459547042846680e+00
7.810509383258560367e-01 4.242504026350870094e-01 3.420852173400000251e-01 7.864187710400000242e+01 4.349999999999999645e+00 2.847200000000000131e+01 4.100000000000000172e-02 3.499137759208679199e-01
1.910921054025245924e+00 5.655648013556787701e-01 4.085307173780000078e-01 4.814171368419999908e+01 4.230000000000000426e+00 2.847200000000000131e+01 -2.810000000000000275e-01 1.114191293716430664e+00
1.529615193242587878e+00 1.019872817201253445e+00 4.030155314500000197e-01 1.009331751640000050e+02 5.549999999999999822e+00 2.849599999999999866e+01 2.240000000000000047e-01 7.770174741744995117e-01
1.702916806712297282e+00 1.204170372771975916e+00 4.402005491770000223e-01 1.001717264349999965e+02 8.150000000000000355e+00 2.850400000000000134e+01 1.299999999999999940e-02 8.294472694396972656e-01
7.072464447319507519e-01 4.999103826706747244e-01 5.764888576690000432e-01 3.639903491900000176e+01 2.009999999999999787e+00 2.850900000000000034e+01 2.459999999999999964e-01 4.810018539428710938e-01
1.081757293178775114e+00 4.999574104881450709e-01 4.985587933860000098e-01 3.418284597939999969e+01 1.235999999999999943e+01 2.851699999999999946e+01 1.160000000000000059e-01 5.289198756217956543e-01
5.316381261156673865e+00 1.486497326496462268e+00 3.479526197789999942e-01 7.507747966719999511e+01 4.330000000000000071e+00 2.851699999999999946e+01 -1.449999999999999900e-01 1.169351100921630859e+00
8.062329110064424542e-01 5.000001599782422090e-01 2.512598101379999727e-01 7.771480871190000528e+01 4.349999999999999645e+00 2.851999999999999957e+01 -4.700000000000000011e-02 4.392535388469696045e-01
8.944127445429437273e-01 5.000103919326558399e-01 4.583603724140000168e-01 7.822039826030000143e+01 4.349999999999999645e+00 2.853399999999999892e+01 -2.699999999999999969e-02 3.729920387268066406e-01
1.077089187155204408e+00 8.245929508535990715e-01 6.072912831029999570e-01 1.048585222650000048e+02 8.140000000000000568e+00 2.854100000000000037e+01 9.400000000000000022e-02 5.871360898017883301e-01
1.204100083219921569e+00 7.810640370731148918e-01 5.046687547199999457e-01 1.013561968970000038e+02 8.140000000000000568e+00 2.855099999999999838e+01 6.600000000000000311e-02 5.377554297447204590e-01
1.746236121312416678e+00 9.849982304997564331e-01 4.429953364549999995e-01 9.921485858050000672e+01 8.119999999999999218e+00 2.855099999999999838e+01 1.960000000000000075e-01 3.571873009204864502e-01
9.219511254707069003e-01 3.162292630233333735e-01 1.539155859709999963e-01 8.062551275750000457e+01 4.389999999999999680e+00 2.855300000000000082e+01 -1.099999999999999936e-02 5.265156626701354980e-01
2.476549602521134208e+00 6.401550783783558352e-01 3.712414993250000017e-01 7.511297755779999363e+01 4.320000000000000284e+00 2.855900000000000105e+01 -3.320000000000000173e-01 5.009656548500061035e-01
9.261599075333208475e+00 2.970412081887153555e+00 6.897086245710000174e-01 8.739673636860000272e+01 4.469999999999999751e+00 2.856500000000000128e+01 -2.399999999999999911e-01 3.012644767761230469e+00
2.500344523926448126e+00 7.614487049786210493e-01 6.085802131609999721e-01 8.780017123380000044e+01 4.480000000000000426e+00 2.857600000000000051e+01 -2.969999999999999862e-01 3.243166804313659668e-01
9.433570187131036233e-01 5.831197641685470501e-01 3.338376365869999973e-01 1.047554511489999953e+02 8.130000000000000782e+00 2.858399999999999963e+01 -5.899999999999999689e-02 5.671637654304504395e-01
1.062885835426103487e+00 7.071970375694963673e-01 6.579988008980000025e-01 7.700368932879999306e+01 4.339999999999999858e+00 2.858699999999999974e+01 1.590000000000000024e-01 3.143602013587951660e-01
1.860070117346444230e+00 6.403256728201770498e-01 6.946697346350000357e-01 1.004165376990000027e+02 8.130000000000000782e+00 2.858800000000000097e+01 -2.699999999999999969e-02 3.018191754817962646e-01
1.341604605234301362e+00 9.849107019421331488e-01 2.712465658129999957e-01 7.642098448859999849e+01 4.339999999999999858e+00 2.859400000000000119e+01 -4.200000000000000261e-02 5.044263601303100586e-01
1.748901828434108019e+00 1.166469333333342462e+00 2.242750980419999929e-01 7.382619514779999292e+01 4.309999999999999609e+00 2.860000000000000142e+01 -3.340000000000000191e-01 1.036654472351074219e+00
1.216561284627007966e+00 6.324472287073804599e-01 9.148570269150000378e-01 4.539256680839999802e+01 1.075000000000000000e+01 2.860500000000000043e+01 -2.800000000000000058e-02 4.011205136775970459e-01
1.117894593719403584e+00 3.606089900307482554e-01 4.786713178449999995e-01 8.664249498040000219e+01 4.490000000000000213e+00 2.860600000000000165e+01 -1.970000000000000084e-01 3.969942033290863037e-01
8.542636270652350650e-01 6.325572916885153774e-01 4.317573902599999847e-01 1.043764901220000070e+02 8.070000000000000284e+00 2.860600000000000165e+01 -3.099999999999999978e-01 5.661686062812805176e-01
2.061773949336601408e+00 1.140057038869041417e+00 3.377184894729999831e-01 6.336871483150000017e+01 4.299999999999999822e+00 2.861199999999999832e+01 -2.590000000000000080e-01 1.490373253822326660e+00
8.484938764573655146e-01 4.242810802479639043e-01 4.251297392799999741e-01 8.195980354690000524e+01 4.419999999999999929e+00 2.861599999999999966e+01 5.000000000000000278e-02 4.537045955657958984e-01
7.210745242524166931e-01 6.403463706887575491e-01 3.468678175309999889e-01 7.660131370240000592e+01 4.339999999999999858e+00 2.861899999999999977e+01 -6.700000000000000400e-02 4.752553105354309082e-01
9.219617310544839794e-01 6.403074386004731222e-01 4.142849607419999969e-01 8.087479938730000129e+01 4.400000000000000355e+00 2.862000000000000099e+01 1.099999999999999936e-02 5.583276152610778809e-01
9.487495999548571923e-01 6.707598999033487219e-01 3.701378144279999782e-01 6.823672341779999329e+01 4.309999999999999609e+00 2.862500000000000000e+01 -1.439999999999999891e-01 3.304616808891296387e-01
5.779985801854999217e+00 3.275704726928160504e+00 9.051815680320000057e-01 1.028040216269999974e+02 8.130000000000000782e+00 2.862600000000000122e+01 2.299999999999999961e-02 4.669207036495208740e-01
9.219424789981360835e-01 5.099080782492234620e-01 3.486834234849999770e-01 7.471337958809999691e+01 4.330000000000000071e+00 2.862900000000000134e+01 -3.799999999999999906e-02 4.932353496551513672e-01
9.055176080945257500e-01 2.236261249912795956e-01 5.323338432959999755e-01 1.067545651310000068e+02 8.109999999999999432e+00 2.863200000000000145e+01 1.300000000000000044e-01 4.598133265972137451e-01
7.211285794235394730e-01 5.656699794833770500e-01 3.312742415850000177e-01 7.877858713300000204e+01 4.360000000000000320e+00 2.863899999999999935e+01 -3.400000000000000244e-02 4.175195395946502686e-01
9.217590242789819310e-01 7.072678541242949368e-01 5.346931850899999672e-01 9.326099592699999619e+01 4.650000000000000355e+00 2.864199999999999946e+01 2.750000000000000222e-01 6.325533390045166016e-01
3.940589645729674295e+00 1.140242326937729755e+00 2.932794465760000246e-01 7.516380210959999886e+01 4.339999999999999858e+00 2.864300000000000068e+01 -7.900000000000000078e-02 6.464664340019226074e-01
8.063795234490976904e-01 4.999001512589444918e-01 3.251829883949999833e-01 1.053886390469999981e+02 8.080000000000000071e+00 2.864499999999999957e+01 -2.640000000000000124e-01 6.883681416511535645e-01
4.965482964248772113e+00 3.220519838145447178e+00 5.532933516850000455e-01 7.896344835319999333e+01 4.370000000000000107e+00 2.865099999999999980e+01 1.390000000000000124e-01 1.650745630264282227e+00
2.656931481879967638e+00 1.077096376633371877e+00 1.311974374670000110e+00 1.062207162020000055e+02 8.109999999999999432e+00 2.865500000000000114e+01 1.039999999999999952e-01 5.446437001228332520e-01
1.431862922440768848e+00 3.162032403210609521e-01 3.552382292369999917e-01 9.950828138720000027e+01 8.070000000000000284e+00 2.865399999999999991e+01 1.610000000000000042e-01 3.628570139408111572e-01
3.733562814516088846e+00 8.544173893475192072e-01 7.502795023439999822e-01 9.602227682410000398e+01 8.089999999999999858e+00 2.866700000000000159e+01 3.699999999999999817e-02 1.884693861007690430e+00
8.943406085720437826e-01 4.472580267326652925e-01 2.587238667969999906e-01 1.001095871259999939e+02 8.060000000000000497e+00 2.868199999999999861e+01 1.539999999999999980e-01 3.902147114276885986e-01
2.209110087208062012e+00 1.104519727820122199e+00 4.963218999360000105e-01 7.975499692539999330e+01 4.379999999999999893e+00 2.869200000000000017e+01 1.029999999999999943e-01 4.679961502552032471e-01
9.487458458447287635e-01 6.324153722574897829e-01 3.088331177599999977e-01 6.648384750319999625e+01 4.309999999999999609e+00 2.869500000000000028e+01 1.350000000000000089e-01 4.843323826789855957e-01
1.649138023718919044e+00 7.280668844003148621e-01 5.991624984940000509e-01 8.306909404699999300e+01 4.440000000000000391e+00 2.869800000000000040e+01 1.779999999999999916e-01 4.811298847198486328e-01
7.211071108046039901e-01 6.403158022256444371e-01 8.034244543920000536e-01 9.746627011690000586e+01 8.080000000000000071e+00 2.869800000000000040e+01 6.000000000000000125e-03 3.785740137100219727e-01
1.299914928908430189e+00 8.544543079696349519e-01 4.537108807770000030e-01 9.830813201719999483e+01 8.060000000000000497e+00 2.870299999999999940e+01 1.160000000000000059e-01 6.901610493659973145e-01
6.700871837729551750e+00 1.600000187889240921e+00 5.739510130320000236e-01 8.887193466509999951e+01 4.509999999999999787e+00 2.870599999999999952e+01 -2.889999999999999791e-01 1.732173323631286621e+00
2.193232643087525080e+00 8.061982238705057702e-01 7.596590216759999681e-01 1.049799330790000056e+02 8.160000000000000142e+00 2.871699999999999875e+01 4.399999999999999745e-02 6.650016903877258301e-01
2.235931955822713313e+00 3.162659316040026813e-01 4.494658182290000026e-01 1.001026138720000063e+02 8.089999999999999858e+00 2.872100000000000009e+01 -2.419999999999999929e-01 3.608026206493377686e-01
1.529796446853201264e+00 6.324006112534955593e-01 3.582165921020000199e-01 1.025042284780000017e+02 8.080000000000000071e+00 2.872299999999999898e+01 -1.859999999999999987e-01 5.960332751274108887e-01
1.280743754143859769e+00 4.999563062364095201e-01 7.456483809299999654e-01 1.081242971150000045e+02 8.119999999999999218e+00 2.872400000000000020e+01 1.150000000000000050e-01 4.223149120807647705e-01
3.905185000791677297e+00 7.000000223974057745e-01 4.832915516899999875e-01 9.991436855130000083e+01 8.039999999999999147e+00 2.872800000000000153e+01 1.479999999999999927e-01 2.679319083690643311e-01
8.944861657956548751e-01 3.605285878845520542e-01 7.034627287139999519e-01 8.089997491580000144e+01 4.400000000000000355e+00 2.873300000000000054e+01 9.900000000000000466e-02 3.531686365604400635e-01
8.245447794858427049e-01 5.385941883764736593e-01 2.836972688259999931e-01 8.729252641300000448e+01 4.500000000000000000e+00 2.873600000000000065e+01 -2.429999999999999938e-01 5.196287631988525391e-01
9.219513470836758762e-01 5.656865811250123555e-01 4.413178382779999742e-01 1.043478949729999954e+02 8.150000000000000355e+00 2.873900000000000077e+01 4.000000000000000083e-03 3.438565731048583984e-01
3.453648913923915487e+00 7.616561312989420518e-01 7.792970391310000133e-01 8.314027542889999722e+01 4.450000000000000178e+00 2.874399999999999977e+01 1.749999999999999889e-01 3.443121314048767090e-01
8.061561888739771087e-01 4.472502542683203797e-01 2.266819145839999994e-01 9.787333295249999310e+01 8.050000000000000711e+00 2.874399999999999977e+01 1.229999999999999982e-01 3.337945640087127686e-01
1.139937644470687905e+00 5.001088471384772527e-01 6.255373087869999793e-01 1.071324779920000054e+02 5.219999999999999751e+00 2.874399999999999977e+01 2.680000000000000160e-01 4.838484823703765869e-01
1.264978713749011385e+00 8.543511750949644989e-01 6.764740178889999678e-01 8.193501599319999684e+01 4.429999999999999716e+00 2.874699999999999989e+01 1.069999999999999979e-01 5.911247730255126953e-01
1.703320697932028116e+00 9.217575124544984400e-01 4.284726336579999795e-01 9.305024864540000351e+01 4.629999999999999893e+00 2.874899999999999878e+01 -2.700000000000000178e-01 3.872632980346679688e-01
8.544678283165209054e-01 5.384736314406359803e-01 4.450808624989999740e-01 9.546042633999999794e+01 8.070000000000000284e+00 2.875100000000000122e+01 -1.449999999999999900e-01 3.159878551959991455e-01
1.941723340735085568e+00 6.324222296221911899e-01 6.528529451929999672e-01 8.186246778810000535e+01 4.429999999999999716e+00 2.875100000000000122e+01 1.079999999999999988e-01 6.006031632423400879e-01
1.170504979650686339e+00 1.044004430797051963e+00 5.406844620909999621e-01 4.906445573420000272e+01 1.074000000000000021e+01 2.875700000000000145e+01 5.800000000000000294e-02 9.450321197509765625e-01
1.360293432641658473e+00 7.210366620472721255e-01 4.879770545039999741e-01 8.600730747500000462e+01 4.509999999999999787e+00 2.875700000000000145e+01 1.360000000000000098e-01 5.236087441444396973e-01
1.334302332808604108e+00 4.122704338404537538e-01 5.505829205490000433e-01 8.068456090460000496e+01 4.389999999999999680e+00 2.875799999999999912e+01 2.810000000000000275e-01 5.936024785041809082e-01
1.220757374447794197e+00 6.402581833403478972e-01 3.904301072060000211e-01 9.769338518259999660e+01 8.050000000000000711e+00 2.876200000000000045e+01 1.039999999999999952e-01 6.750067472457885742e-01
1.772161614395604268e+00 9.485966368293173856e-01 7.484442522259999730e-01 3.494040983480000051e+01 1.989999999999999991e+00 2.876599999999999824e+01 -1.869999999999999996e-01 4.775702655315399170e-01
1.131214684630865719e+00 5.000683906526356415e-01 6.946993185959999817e-01 8.246024376539999423e+01 4.440000000000000391e+00 2.876599999999999824e+01 1.700000000000000122e-01 4.799374043941497803e-01
1.771871017883442700e+00 7.280674357424538057e-01 9.283865054380000537e-01 1.070732772629999943e+02 8.070000000000000284e+00 2.877400000000000091e+01 1.739999999999999880e-01 1.063917398452758789e+00
1.117971083085396389e+00 8.062622257875188270e-01 6.444745798590000296e-01 1.071302092109999933e+02 8.070000000000000284e+00 2.877899999999999991e+01 1.960000000000000075e-01 6.005737781524658203e-01
1.923241298103153252e+00 1.341849973132017926e+00 1.030432894770000107e+00 1.074161469310000001e+02 7.969999999999999751e+00 2.878000000000000114e+01 2.340000000000000135e-01 4.916921257972717285e-01
