Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv     Sum(T)    Npix
122    43   271   376   0.77   1.09   1.12   0.98   1.81       4.28       9    
123   219   264   584   0.76   1.11   1.13   0.98   1.13       2.90       6    
124   176   321   644   0.76   4.93   6.01   5.17   4.59     185.53     520    
125   592   147   605   0.76   1.18   2.51   1.13   1.15       3.50       7    
126   507   129   624   0.76   1.14   1.62   1.13   1.50       3.53       7    
127   168   269   584   0.76   0.00   1.15   0.80   2.85       3.65       7    
128    38   271   376   0.75   1.14   1.09   1.13   4.80       7.45      17    
129    14   271   636   0.75   0.00   1.09   0.80   2.42       3.47       8    
130    79   271   420   0.75   1.08   2.75   1.49   1.72       5.48      15    
131   284   264   549   0.75   2.25   1.14   1.49   2.33       7.24      18    
132   322   256   370   0.75   4.95   9.41   6.10   5.58     250.16     721    
133   142   271   431   0.75   -NaN   0.00   0.56   3.35       3.08       6    
134    96   271   554   0.75   3.52   2.79   1.78   3.60      21.46      52    
135   330   164   486   0.74   1.84   1.06   1.13   2.15       5.76      14    
136   352   342   550   0.74   4.73   3.27   3.61   2.63      57.12     156    
137   198   264   773   0.74   1.17   -NaN   0.80   1.96       3.68       7    
138   524    80   422   0.74   1.83   1.16   1.38   0.80       3.82       8   
139   596   287   520   0.74   1.51   1.18   1.26   3.23       8.36      18   
140   570    50   344   0.73   1.17   1.65   1.26   0.63       2.97       6    
141   596   408   642   0.73   1.42   1.17   1.26   4.24      10.29      22   
142   590    67   710   0.73   1.05   1.15   0.98   1.17       3.31       6    
143   458   159   556   0.73   1.49   2.58   1.60   0.54       4.95       9    
144   546   144   589   0.73   1.79   1.17   1.26   0.74       3.63       7    
145   438   147   587   0.73   0.00   0.00   0.56   8.12       7.36      14    
146   250   269   663   0.73   3.72   1.80   1.60   5.48      11.59      29    
147   548   189   534   0.73   5.94   7.49   5.26   4.06     170.68     433    
148    84   271   554   0.73   4.40   3.22   2.59   5.12      48.09     125    
149    99   271   652   0.73   0.00   1.17   0.80   4.70       7.14      16    
150   538    91   313   0.73   1.18   2.68   1.13   0.87       2.96       6    
151   547   157   373   0.72   1.80   0.95   0.98   1.23       2.72       6    
152   327    93   392   0.72   9.45  14.51   8.06   6.35     310.07     901    
153   525   272   651   0.72   1.18   1.15   1.13   0.83       2.92       6    
154   280   264   698   0.72   0.94   1.78   0.98   1.31       2.60       6    
155   518   126   452   0.72   2.10   2.19   1.78   0.44       5.53      11    
156    82   372   404   0.71   5.61   6.43   5.59   3.81     155.52     448    
157   104   269   798   0.71   0.00   1.18   0.80   1.60       2.57       6    
158   498   513   299   0.71   -NaN   1.13   0.80   3.29       4.79      11    
159   141   312   640   0.71   3.78   5.70   4.07   4.53     108.41     314    
160   540   161   802   0.71   1.09   0.51   0.98   9.38      11.14      23    
161   131   371   690   0.71   4.41   5.71   4.92   6.94     200.09     602    
162    33   270   338   0.71   1.76   0.00   0.98   1.32       3.15       6    
163   197   264   563   0.71   1.12   1.95   0.98   1.51       3.17       8    
164   454   143   542   0.71   1.12   1.60   1.38   3.92       6.98      14    
165   513   123   653   0.71   2.43   3.00   1.69   1.54       8.54      19    
166   440   350   315   0.71   1.69   1.52   1.38   0.00       2.95       6    
167   550   188   495   0.70   1.17   1.18   1.13   0.87       2.82       6    
168   510    58   655   0.70   2.41   1.44   1.49   0.53       3.89       8    
169   493    92   445   0.70   2.22   1.31   1.38   0.00       3.21       6    
170   575   121   482   0.70   1.59   1.69   1.38   0.00       3.24       6    
171   180   269   596   0.70   1.52   2.53   1.49   7.26      22.64      52    
172   356   165   481   0.70   1.95   1.74   1.26   0.86       3.43       7    
173   268   269   595   0.70   2.21   3.95   1.95   1.39       9.92      24    
174   444   300   688   0.70  14.92  16.52   9.89   6.31     728.76    2128    
175    61   266   402   0.70   1.04   1.17   0.98   1.47       2.78       7    
176   478   160   403   0.70   1.10   2.07   1.38   0.00       3.35       6    
177   469    49   364   0.70   1.62   2.59   1.38   0.00       3.96       6    
178   567   157   535   0.70   1.12   2.66   1.49   0.99       4.97      11    
179   584    79   807   0.70   0.00   1.18   0.80   2.01       2.61       6    
180   595   354   552   0.70   1.88   3.36   1.87   2.43      11.54      29   
181   252   271   624   0.70   1.11   1.81   0.98   1.72       3.77       9    
182   148   265   496   0.70   0.00   1.92   0.98   1.01       2.74       6    
183   572   270   738   0.70   2.14   1.80   1.60   0.00       4.15       8    
184   478    50   589   0.69   0.76   1.86   1.13   1.43       3.62       9    
185   451   144   548   0.69   1.65   0.56   1.13   4.79       9.25      19    
186   541   116   550   0.69   1.59   1.62   1.38   0.00       3.64       6    
187   450   149   376   0.69   1.60   1.06   0.98   2.71       5.07      11    
188   466   151   314   0.69   1.64   1.73   1.49   0.00       4.27       7    
189   531   277   713   0.69   2.83   3.22   1.87   3.50      16.07      44    
190   455   196   371   0.69   2.36   1.61   1.38   0.00       3.34       6    
191   239   269   699   0.69   1.07   1.10   0.98   3.41       8.02      17    
192    89   262   400   0.68   1.18   -NaN   0.80   1.72       2.91       6    
193   470   111   322   0.68   1.51   2.74   1.49   0.00       3.76       7    
194    93   263   324   0.68   1.09   1.89   0.98   1.08       2.73       6    
195   546   153   525   0.68   1.96   1.81   1.13   1.18       3.21       6    
196   585   137   698   0.68   0.94   1.93   1.13   1.05       3.38       7    
197   101   264   367   0.68   1.13   1.44   1.13   1.46       3.74       9    
198   592   109   298   0.68   -NaN   0.52   0.80   5.56       5.03      11    
199   175   269   674   0.68   -NaN   1.18   0.80   1.64       2.49       6    
200   596   292   730   0.68   1.95   1.70   1.26   2.36       3.99       8   
201   112   271   623   0.68   -NaN   1.13   0.80   2.14       3.11       7    
202   493    63   791   0.68   1.17   1.74   1.26   0.65       3.06       6    
203   432    49   315   0.67   1.02   2.92   1.38   0.94       3.95       8    
204   253   264   656   0.67   1.83   1.75   1.38   4.42       8.76      20    
205   420   221   658   0.67   4.75   5.54   3.39   5.37      52.57     159    
206   120   262   693   0.67   0.00   1.96   0.98   1.50       3.32       7    
207   157   263   549   0.67   1.10   1.10   0.98   1.34       2.76       7    
208   164   140   664   0.67   4.84   8.60   5.73   4.06     173.90     526    
209   271   373   648   0.67   8.74   7.91   6.15   3.94     141.36     465    
210   556   161   788   0.67   0.86   0.00   0.80   4.28       4.21       9    
211   487   389   688   0.66   2.34   3.38   1.87   0.00       4.55      11    
212   108   269   690   0.66   1.15   1.76   1.26   0.78       3.38       7    
213   550    49   438   0.66   1.87   3.20   1.78   0.00       6.08      10    
214   443   158   522   0.66   1.18   0.00   0.80   1.56       2.37       6    
215   460   154   298   0.66   -NaN   0.00   0.56   6.92       5.67      12    
216   536   303   524   0.66   5.27   3.66   3.87   7.31     144.82     413    
217   441   198   555   0.66   2.54   1.13   1.38   1.46       5.34      13    
218   490    53   586   0.66   1.38   1.71   1.26   0.97       3.58       8    
219     5   257   630   0.66   1.16   1.62   1.26   0.70       3.02       6    
220   156    40   487   0.66   0.00   0.00   0.56   8.76       7.20      15    
221   450   224   640   0.66   1.65   1.42   1.38   1.22       4.32      10    
222   508    50   342   0.66   1.09   2.28   1.26   1.78       4.26      10    
223    80   262   555   0.66   0.00   0.00   0.56   3.92       3.13       7    
224   504   168   367   0.66   2.45   1.10   1.13   1.15       3.18       6    
225   584   121   383   0.66   1.00   1.75   1.13   1.90       5.01      12    
226    13   269   516   0.66   1.71   1.14   1.26   0.97       3.85       8    
227   577   139   723   0.66   1.15   1.78   1.13   0.89       2.65       6    
228   468   121   306   0.66   1.89   1.90   1.26   1.03       3.41       7    
229   127   259   371   0.65   1.17   1.18   1.13   1.15       2.98       7    
230    72   264   341   0.65   2.14   0.94   1.13   1.63       3.28       7    
231   147   263   693   0.65   1.15   3.57   1.38   0.88       4.26       8    
232   452   133   781   0.65   1.69   2.04   1.26   1.04       3.68       8    
233   503   317   614   0.65   4.98   3.96   3.83   3.95      88.52     249    
234   505   197   768   0.65   1.62   1.13   1.26   0.62       2.88       6    
235   267   267   742   0.65   2.71   1.90   1.26   1.57       4.32      10    
236   444   261   538   0.65   1.59   1.71   1.49   4.30      13.16      35    
237   517   149   639   0.65   1.17   2.36   1.38   2.72       9.16      23    
238   229   266   685   0.65   1.69   1.09   0.98   2.51       3.70      10    
239   140   269   582   0.65   1.08   1.93   0.98   1.17       2.96       6    
240    11   269   646   0.65   1.69   1.69   0.98   2.87       4.65      11    
241   592    78   726   0.65   1.18   1.18   1.13   0.92       2.83       6    
242   157   266   617   0.65   0.00   1.18   0.80   1.59       2.34       6    
243   492   133   558   0.65   1.18   1.88   1.38   0.00       3.30       6    
244   182   270   596   0.65   1.14   1.03   0.98   2.39       4.92      11    
245   456   174   778   0.65   1.86   1.60   1.38   0.00       3.28       6    
246   459   170   397   0.64   -NaN   1.74   0.98   3.32       3.76       9    
247   584    55   387   0.64   2.14   2.96   1.38   1.15       4.65      10    
248   525   146   676   0.64   0.81   1.99   1.13   0.94       2.52       6    
249   550   157   299   0.64   1.44   1.16   0.98   7.93       9.55      21    
250   367   178   556   0.64   8.03   5.11   5.53   5.56     211.74     606    
251   389   188   559   0.64   5.62   5.20   3.48   3.96      53.85     157    
252   539    49   313   0.64   0.94   2.41   1.26   0.75       3.20       6    
253   506   321   387   0.64   1.56   1.71   1.49   0.00       3.39       7    
254   502   276   633   0.64   1.98   1.16   1.38   0.96       3.56       8    
255    20   410   565   0.64   4.18   5.48   4.41   4.57     128.01     369    
256   453   110   542   0.64   1.11   1.79   1.26   2.39       8.59      19    
257   473    62   693   0.64   1.85   1.18   1.38   0.00       3.12       6    
258   591    47   725   0.64   1.18   1.73   1.26   0.81       3.50       7    
259   551    45   464   0.64   1.14   1.10   0.98   1.11       2.49       6    
260    13   264   348   0.64   1.04   1.15   0.98   1.57       3.34       8    
261   362   172   447   0.64   1.58   1.81   1.26   1.05       3.52       8    
262   589   321   536   0.64   3.44   3.03   2.03   4.88      18.42      56    
263   595    96   326   0.64   1.64   3.14   1.60   0.00       4.20       8    
264   193   262   783   0.64   1.18   0.78   0.98   1.62       2.75       6    
265   556   101   630   0.63   1.10   1.15   0.98   1.16       2.36       6    
266   592   189   430   0.63   0.78   2.43   1.13   1.90       4.66      10    
267   166   266   398   0.63   1.64   2.50   1.38   1.17       4.63      11    
268   457   216   628   0.63   2.46   2.01   1.49   1.94       7.36      18    
269   403   165   505   0.63   1.10   1.17   1.13   1.88       3.86       9    
270    99   262   724   0.63   2.29   0.91   1.13   2.22       3.81       9    
271   566   172   474   0.63   2.24   3.95   2.19   2.70      24.93      62    
272   550   118   371   0.63   1.58   1.63   1.38   0.00       3.21       6    
273   353   510   487   0.63   1.60   2.30   1.49   0.00       3.35       7    
274   262   270   580   0.63   1.13   1.11   0.98   1.38       2.94       7    
275    41   258   779   0.63   1.60   1.49   1.38   0.85       3.34       8    
276    14   262   431   0.63   1.70   2.05   1.13   1.95       4.15      11    
277   259    40   320   0.63   1.70   1.13   1.26   1.30       3.37       9    
278   530    50   380   0.63   1.59   2.13   1.38   4.37      15.06      35    
279   449    63   793   0.63   1.52   1.10   1.26   2.39       5.59      13    
280   441   160   593   0.62   -NaN   1.11   0.80   2.88       2.70       7    
281   550   159   344   0.62   1.16   1.07   0.98   2.10       4.25      10    
282   563   161   322   0.62   1.74   3.06   1.38   0.00       3.37       6    
283   523   147   636   0.62   1.28   2.34   1.26   3.57       9.79      24    
284   451   141   546   0.62   2.17   1.07   1.13   2.88       6.56      14    
285   465    63   310   0.62   2.31   1.17   1.49   0.97       4.86      11    
286   357    49   757   0.62   1.16   1.73   1.26   0.92       3.29       7    
287   520   142   634   0.62   1.57   2.05   1.49   2.98       5.16      10    
288    65   264   783   0.62   1.03   1.13   0.98   1.47       3.09       8    
289    15   264   398   0.62   1.14   1.94   1.13   1.87       4.50      11    
290   552   132   434   0.62   2.64   2.27   1.69   0.47       5.02      10    
291   458   219   469   0.62   2.21   1.43   1.38   0.96       3.32       8    
292   499   120   299   0.62   0.82   1.07   0.98   4.01       5.39      13    
293   482    50   391   0.62   -NaN   0.00   0.56   8.75       6.72      15    
294    77   269   553   0.62   1.68   1.91   1.38   2.15       8.49      21    
295   577    82   328   0.62   1.55   1.82   1.38   0.00       3.14       6    
296   329    47   801   0.61   0.87   1.16   0.98   6.66       5.14      13    
297   541    50   601   0.61   1.08   1.53   1.13   0.91       2.51       6    
298   504   159   385   0.61   0.90   2.33   1.26   3.45       9.80      23    
299   410   168   525   0.61   1.15   1.08   0.98   1.47       3.12       7    
300    95   263   673   0.61   1.15   1.18   1.13   1.27       3.46       8    
301   252   266   731   0.61   1.02   1.17   0.98   1.53       3.04       7    
302   508   163   383   0.61   1.62   1.16   1.26   0.62       2.93       6    
