Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv     Sum(T)    Npix
159   391   106   239   0.60   2.30   2.77   1.87   1.89       6.06      15    
160   590   118   348   0.60   1.58   1.15   1.26   1.89       5.14      12    
161   354    74   501   0.59   5.42   7.11   5.17   4.21     129.02     402    
162   247   257   321   0.59   4.39   3.96   3.70   5.11      99.65     294    
163   554   306   722   0.59   1.44   1.56   1.26   2.72       5.52      14    
164    54   296   303   0.59   2.65   2.65   2.11   2.63      12.57      38    
165   526   261   289   0.59   2.06   2.84   1.87   0.00       5.44      11    
166   364    92   511   0.59   5.52   3.87   3.52   3.01      52.38     148    
167     2   270   636   0.58   0.00   -NaN   0.56   8.76       6.33      15    
168   276   369   237   0.58   3.67   5.37   3.48   6.37     105.41     290    
169    39   273   323   0.58   2.19   1.71   1.69   1.18       5.52      15    
170   444    58   209   0.57   1.59   1.43   1.38   5.76       7.60      20    
171   326   117   445   0.57   0.89   1.85   1.26   6.70       7.36      20    
172    41   217   412   0.57   3.84   1.66   1.87   2.38      11.29      30    
173   488   341   284   0.57   1.40   2.69   1.60   3.14      11.24      32    
174   555   104   360   0.57   3.17   2.41   1.78   3.48      15.84      42    
175    80   130   516   0.57   1.75   1.54   1.13   2.57       5.46      15    
176   589   126   360   0.57   4.35   2.88   1.78   4.17      15.39      44    
177    39   234   532   0.56   5.94   6.99   4.51   9.56     177.58     529    
178   554   169   224   0.56   2.52   1.72   1.60   2.40       4.60      12    
179   517   235   609   0.56   2.69   2.99   1.69   1.01       4.36      13    
180   211   275   221   0.56   1.00   0.66   0.98   6.97       6.44      17    
181   602   433   232   0.56   3.43   2.89   1.95   0.75       5.22      14    
182   256   234   551   0.56   3.08   1.71   1.38   1.84       4.24      11    
183   477   110   322   0.56   1.18   1.18   0.80   3.88       5.39      13    
184    67   163   725   0.56   0.00   0.81   0.80   8.20       7.07      18    
185   392    13   462   0.56   1.07   0.00   0.80   4.07       3.92      11    
186   496   106   346   0.56   1.54   1.68   1.26   2.62       5.62      15    
187   472   367   589   0.56   1.66   1.58   1.38   1.17       4.67      11    
188   359   128   469   0.56   7.40   6.14   5.61   8.80     342.90    1000    
189   149   192   332   0.55   1.38   2.57   1.38   2.85       6.85      19    
190    14   253   636   0.55   1.12   2.95   1.69   1.26       6.09      17    
191   566   275   686   0.55   0.00   0.00   0.56   8.76       6.02      15    
192   255   362   499   0.55   1.12   1.02   1.13   4.90       3.80      13    
193   155   364   701   0.55   2.23   3.19   1.78   1.03       6.28      15    
194    83   194   462   0.55   2.84   1.51   1.38   1.52       4.34      12    
195   473   151   583   0.55   1.71   1.63   1.38   3.56       4.53      12    
196   571   374   732   0.55   -NaN   -NaN   0.56   6.48       4.46      11    
197   428   168   452   0.55   2.41   1.52   1.49   3.56       9.17      27    
198    13   171   467   0.55   2.77   2.00   1.78   0.52       4.41      11    
199   607   297   213   0.55   2.27   1.18   0.98   3.89       3.81      12    
200    60   178   564   0.54   1.17   1.44   1.26   3.03       3.74      11    
201   592   365   247   0.54   -NaN   0.00   0.56   8.75       5.90      15    
202   457   284   638   0.54   0.00   0.70   0.80   7.48       5.45      14    
203   480   311   715   0.54   0.00   0.69   0.80   8.57       5.65      14    
204   244   219   547   0.54   1.17   3.22   1.49   1.77       4.69      15    
205   595   163   298   0.54   2.13   1.85   1.69   0.83       4.94      12    
206   170   373   261   0.54   -NaN   -NaN   0.56   8.75       5.85      15    
207   136   150   567   0.54   1.67   2.24   1.60   1.14       5.20      14    
208    66   151   551   0.54   1.18   1.18   1.13   2.16       3.86      11    
209    64   328   245   0.54   2.42   0.67   1.26   1.94       3.58      11    
210   419   366   280   0.54   1.57   2.24   1.69   1.50       7.92      20    
211   429   185   233   0.53   2.65   2.39   1.69   1.17       4.36      11    
