Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv  Sum(T)  Npix
307   451   289   591   0.57   -NaN   0.00   0.56   6.73    4.14    17    
308   458   289   647   0.57   0.00   0.00   0.56   8.22    5.11    20    
309   350   388   625   0.57   1.61   1.89   1.38   7.70   25.79   111    
310   214   418   619   0.57   0.00   1.18   0.80   7.74    9.45    38    
311   353   391   625   0.57   1.52   1.18   0.98   7.20    9.34    39    
312   337   270   566   0.57   3.75   4.18   3.24   9.51  149.28   734    
313    87   443   667   0.57   1.11   1.14   0.98   4.26    6.87    29    
314   452   286   551   0.57   0.00   -NaN   0.56   9.33    5.73    23    
315   455   394   588   0.57   -NaN   -NaN   0.56   4.34    2.67    11    
316   312   359   655   0.56  11.86   8.20   6.38   8.13  136.74   818    
317   144   425   555   0.56   0.00   1.17   0.80   5.12    6.10    25    
318   102   334   416   0.56   2.28   1.39   1.13   5.53   11.69    48    
319   305   369   658   0.56   7.86   5.22   5.01   7.96  205.38  1004    
320   400   258   527   0.56   0.00   1.17   0.80   3.36    3.89    16    
321   242   225   534   0.56   4.11   2.35   2.59   4.34   35.99   174    
322   335    84   392   0.56   1.17   -NaN   0.80   3.60    4.42    18    
323   462   275   651   0.56   -NaN   0.00   0.56   3.10    1.94     8    
324   128   326   561   0.56   2.19   2.35   1.87   4.47   25.75   115    
325   378   309   560   0.56   4.96  11.79   5.84  10.22  157.21   932    
326   274   309   677   0.56   2.47   2.62   1.95   6.69   42.41   193    
327    28   312   512   0.55   3.11   3.43   2.59   6.75   39.72   191    
328   208   315   684   0.55   7.10   4.58   4.69  15.10  327.89  1527    
329    82   380   414   0.55   0.00   0.00   0.56   4.71    2.84    11    
330     4   337   445   0.55   0.00   0.00   0.56   2.48    1.53     6    
331   143   336   653   0.55   1.17   1.17   0.80   5.52    6.25    27    
332   119   403   569   0.55   0.00   -NaN   0.56   6.27    3.76    15    
333   359   262   554   0.55   1.18   1.17   1.13   5.00   11.33    48    
334   402   306   550   0.55   5.63   7.47   5.92  10.79  126.70   819    
335   228   261   654   0.55   -NaN   0.00   0.56   4.86    2.94    12    
336   413   252   378   0.55   -NaN   0.00   0.56   5.51    3.28    14    
337    78   293   658   0.55   4.15   7.37   5.32   7.64  137.07   755    
338   349   284   548   0.55   -NaN   0.00   0.56   4.22    2.56    10    
339   463   366   589   0.55   -NaN   -NaN   0.56   5.55    3.32    14    
340   422   301   553   0.54   2.08   2.09   1.49   6.37   21.57    96    
341   204   314   682   0.54   6.48   2.78   4.48  16.00  265.57  1217    
342     3   268   639   0.54   0.00   0.00   0.56   2.50    1.50     6    
343   466   381   557   0.54   0.00   1.18   0.80   4.09    4.77    20    
344   329   370   554   0.54   1.15   1.73   1.26   4.29   12.05    51    
345   157   105   588   0.54   0.00   0.00   0.56   4.77    2.81    12    
346    90   399   420   0.54   -NaN   0.00   0.56   3.41    2.05     8    
347   105   483   579   0.54   -NaN   0.00   0.56   5.15    3.00    13    
348   151   317   563   0.54   4.24   3.52   3.14  10.83  135.64   696    
349   153   412   688   0.54   -NaN   1.87   0.98   7.80   12.59    56    
350   212    93   679   0.54   2.43   2.38   1.95   4.75   27.12   131    
351   390   301   554   0.54   7.45   8.24   6.89  15.62  250.35  1277    
352   284   193   587   0.54   1.13   1.09   0.98   3.51    5.30    26    
353   298   266   657   0.54   2.40   4.38   3.34   4.67   31.80   178    
354    53   348   589   0.54   1.07   1.64   1.13   4.58    9.79    43    
355   245   225   535   0.53   1.72   2.75   1.95   3.05   13.92    63    
356   389   304   655   0.53   0.00   0.00   0.56   4.83    2.79    12    
357   357   344   649   0.53   1.18   2.68   1.60   5.35   14.10    66    
358    99   255   553   0.53   3.44   2.73   2.82   5.33   35.07   170    
359   443   306   689   0.53   2.11   2.27   1.38   6.26   15.77    75    
360   106   458   590   0.53   8.72   4.56   4.98   9.35  131.84   715    
361   305   383   656   0.53   3.53   2.63   2.46   5.78   34.16   165    
362   341   357   659   0.53   1.16   1.71   1.26   4.27   11.78    53    
363   180   332   484   0.53   2.24   1.70   2.11   3.97   13.91    69    
364    44   330   695   0.53   1.13   1.10   0.98   4.05    6.36    29    
365   269   244   555   0.53   1.67   1.75   1.26   2.96    7.15    34    
366   355   347   648   0.53   2.14   2.55   2.03   4.72   14.26    53    
367   199   215   529   0.53   2.15   2.02   1.38   4.26   11.68    57    
368   230   283   562   0.53   -NaN   -NaN   0.56   3.64    2.09     9    
369   343   370   656   0.53   -NaN   0.00   0.56   5.08    2.88    13    
370   125   329   561   0.53   0.00   1.89   0.98   3.76    5.94    27    
371   401   304   549   0.52   7.45   7.12   6.05   9.83  178.50   933    
372    66   288   623   0.52   1.59   1.73   1.38   4.48   13.84    65    
